text,hate
"Hindus with full support from their religious scriptures, especially 'MANUSMRITI' has inflicted horrific torture on their Womenfolk & untouchable Dalits, since ages ... To promote the child-rape, baby-girls used to be married off to aged Hindu males, even before puberty ... Polygamy was practiced by most of the Hindu males, especially Brahmins, like Tiwaris, Dubeys, Choubeys etc. ... With religion by their side, some of them used to marry more than 100 Hindu-women, even at the death-bed (infamous Antarjali Yatra) ... After the death of old husbands, the just-married baby-girls used to be made 'SATI' by throwing her on the pyre of her husband ... 
A bengali film named 'Antarjali Jatra', under the direction of famous director Goutam Ghose was released in 1987. This movie chronicles the evil practices prevalent in Kulin Brahminism like polygamy & ... 'SATI practice', wherein a recently widowed woman would be immolated on her husband's funeral pyre.

All sorts of restrictions used to be imposed on WIDOWS ... on 'food intake', 're-marriage of tee0e widows', 'right to property', 'social status', 'recreations' et al, whereas no restriction on any kind used to be imposed on WIDOWERS !
Now-a-days, Hindus are seen mocking at the 'Burqa' used by Muslims ... But ask any Hindu, why the hell they keep their wives-mothers-grandma under the ""GHUNGHAT"" or compell their Women- folk to use vermilion (SINDOOR/BINDI), when the married hindu-men use none ... They would become speechless ! 

Let alone the commoner, even the Goddess Sita had to appear for a fire-test to prove his 'purity', she was abandoned by Hindu-God Ramchandra when she was pregnant & forced to live in the Hermitage of Valmiki. Finally, she had to commit suicide ... In the same way Lord Krishna never married to 'Radha' & abandoned her & never met her again, after leaving Mathura for Dwarka ! Though he had 16,100 junior wives, besides 8 Principal queens ! 

Do you have the guts to name a single Hindu whose Great grand-ma / Grand-ma was not raped by his G. grand-pa / grand-pa when she was just a kid & made her to produce children like a rabbit !!

Finally, let me admit that I'm a devout Hindu myself ! And I'm proud of my religion as it allows me apply my brain to judge between good & bad ... to criticize all the evil customs of Hinduism without fear, shun them, change my ""DHARMA"" to suit the modern age ... AND HERE EXACTLY THE ISLAM IS LAGGING BEHIND ... No change, no scientific proof, no logic, no modification of Religious beliefs to suit the modern time-place, no criticism of age-old evil customs, no difference of opinions are permitted / practiced in ISLAM ... ""INTOLERANCE"" to others is the buzzword in ISLAM !!",1
"@BorisJohnson the country is already united ... against #SpaffingBoris  .@BorisJohnson philandering, womanising, misogynist, bully of small children, con artist, racist and poundshop-trump becoming our Prime Minister  Tnx     #borisjohnson #Boris4PM #BorisJohnsonShouldNotBePM https://t.co/iTbPaCUBtM",1
ICC behaving like ECI #DhoniKeepsTheGlove,0
"I doubt they are here to announce that they won't launch the Bajaj Dominar, with such depressing event.",1
@CIAspygirl Good one. 😃👍🍻 #PresidentialEmbarrassment #FuckTrump #Resist,0
"@GOP @realDonaldTrump @pnjaban The Orange Dotard can't even spell diplomacy. The only things he's killing are truth, the environment, the rule of law, the economy, the GOP, and America's world standing! #FuckTrump #FuckTheGOP",1
Dilip sir can you please share your views on bodal chemical for long term portfolio?,0
"Wow! So you really did drink that Kool-aid . I guess there is no cure for stupid, though. #TrumpIsATraitor #TrumpsWorseThanNixon #TrumpCrimeSyndicate https://t.co/Tgf0rqECKm",1
We don't need terrorists supporter idea. Pls let him keep his thoughts with him.,1
Rolls Royce won't even sell their car to someone with a royal enfield.......Because you earn a Rolls Royce......just simply can't buy it.....,0
"UK won't build a hard border, eu won't build a hard border, so who is?",0
"@Femi_Sorry It would be irresponsible for Tory MPs to opt for #BorisJohnsonShouldNotBePM, perhaps more irresponsible than holding a 50% threshold referendum.  For the Country’s and Party’s sake please go for @RoryStewartUK!",0
Hard work 😀😀😀😀😀means converting pineapple water in to coconut juice😀😀😀😀😀,1
What this broker talking about?,1
"While some are busy fighting over fictional tales, there are some who are fighting for real people with real rights! This man! 👏",1
"Even Pawar voted for BJP ..
Shiv Sena leave the assembly he's ready to support BJP otherwise what SULE n AJIT will do without power whatsoever little .",1
What will you do #icc on 16th match of india vs pakistan there same weather like previous match fans are waiting for prope decision from #icc... better you shift all matches to other ground or make some good solution on this regard...#ShameOnICC,0
first seize all guns from north India.,1
Finally a sane guy who dared to post.,1
Your orange bigoted ASSHOLE boss throws babies in cages at the border and then they die!!!  #FUCKTrump #ImpeachTrumpNow https://t.co/WfIObxSUi2,1
"Yes, I did. I told you we should have pursued this. It was a cool idea.",0
"Anna hajare already in BJP,  he is in dark sleep, sure he will woke up at next parliament election.
Mr. Anna Hahare what a master planner your. Showing these types of attitude very shame on you, dramebaaz.",1
Like Modi dumped his wife in 21st century.,1
"I do not understand what you mean by India doesn't have Sharia Law. There can't be any restrictions on Appeal or advise. The leaflet does not name Nahid or any person it just says music is prohibited in Islam which is true
We are democratic country and follow democratic laws.
Every single time the paid and corrupt Indian Media blames Islam all narrow minded people take up arms and brand Islam as Evil.
Please watch Ndtv Prime time by Mr. Ravish Kumar who is the most decent person in Indian Media",1
For that sake you make Tamil Nadu people protest like this.....,0
This move would allow countries to tap into huge resources and they'd develop quicker and more efficiently than by relying on the crumbs handed down to them by the ICC.,0
Worst world cup tournament...worst management..... #ShameOnICC,0
I have a problem with any religions which forces me to be a part of it. So yeah I support him I'm this issue wholeheartedly.,1
I think Mamata Banerji should allow these people to Chant whatever they want on the road . Let's see for how many how many weeks they can continue this. ,0
Where's is Modi and the cow supporters the bjp politician need some booting,1
@realDonaldTrump How old are you? No do over? We haven't even started getting to the bottom of all your crimes. #TrumpsWorseThanNixon #TrumpCrimeFamily #PutinsPuppet #FuckTrump #TrumpCrimeFamily #Resign,0
"@Cmonman4real @MichaelRapaport @realDonaldTrump Considering it (dick stains bday) going around on social media, one would have to live under a rock to not know, due to social media... I need to see a birth certificate to prove today is actually his bday.. #FuckTrump #JohnMcCainDay",1
Earlier reports suggested that a dozen-odd personnel were injured when the blast tossed up a mine protected vehicle carrying them to Gadchiroli from a spot where a fierce encounter had happened in the afternoon.,0
"India's tactic to divert attention from Kashmir issue, because India is under tremendious pressure from international community and great struggle by people of kashmir...",0
"Faith-Based School Cofounded by Nicholas Sparks Accused of Homophobic, Racist Policies and Ideology #Resist #ResistTrump #FuckTrump https://t.co/YrRa9WjmfX",1
"You are the biggest looser anna.
U joined mamta banerjee and u saw when there was no public in rally u ran away. Why dont u tell about others report of all parties?",1
"What we can except from such type of Govt.? Making fulĺ to public , diversifying people mind from current issue. Great logic with great people",0
"#GandiNaaliAbuse.The way Congress received drubbing in recently concluded hustings ,Congimen are unable to digest this and they are now resorted to use of abuses and gaali galoch against PM Modi non other than  opp. Leader Adhir Ranjan Choudhari which shows how mean they are.",1
Indian Express at its lowest. I need to rethink if I should continue with its subscription?,1
You guys are presstitutes,1
you CPM congress has divided India based on religion  and made Muslism country of Indian part and kciked 10 cr Hidnus from their grand parents country of Paka nd Bangladesh.,1
It's most worst speech of Prime Minister of India in the Indian History,1
Why do you call Gandi Naali fellows to the debate? #GandiNaaliAbuse,1
"New job Vacancy in BJP, they are Hiring ISI agents...Interested candidate please contact to Tadipaar Shah and Kailash Vijayvargiya, Fekendra.....
Candidate Ability-He must be BJP member...... Deshdrohi Party....BJP+ ISI+ ISIS alliance....",1
"coaches never learn , they only teach ....dell or hell ?",0
"Where he is barking , in lok Subha or on road ?",1
"Safety officer should be hanged he is responsibility for their death 
Of company not hire a safety personal than company owner and person responsible for signing lic should be charge 
This is man slaughter a crime hinderous crime 
Peoples come to work not to kill",1
"#DoctorsStrike called off at AIIMS, 48-hour ultimatum given to meet demands. @raghvendra_rao and @gaur_anubhuti with more details on Tiranga TV  #DoctorsFightBack   #DoctorsProtest https://t.co/XXQwxdubMS",0
Hes not my fucking boy.    But you know Ive never thought of that before. I 100% agree anyone who defends or deflects Trumps awful behavior *IS* a fuckwad. Wow. So profound brother.  #fucktrump  #TrumpIsARacist #TrumpIsAFelon,1
@NBCNews Fck him #MURDERER,1
"It tragic, and should not have happened. Condolences to the bereaved family. But what is happening in our own country, specially with our own North Eastern people is acceptable?",1
I m unable 2 hear the sound is there any prblm with the video ??,0
#ShameOnICC Please give some rain to Chennai....,0
Bad roads.  Accident.  Patient dies in hospital.  Let's hit the doctor  Bad food items.  Food poisoning.  Patient dies in hospital.  Let's hit the doctor  Never hit corrupt babus  Strange mentality....  #DoctorsFightBack #DoctorsProtest #DoctorsStrike #doctors_against_assualt,0
I just had a delicious salad. #FuckTrump,0
Boom Boom Afridi  .  .  .  #worldcup #ipl #cricket #cwc #viratkohli #india #icc #indiancricketteam #rohitsharma #msdhoni #teamindia #dhoni #pakistan #virat  #bhfyp #tilltoss,0
Trends for you  #DellMostTrustedBrand  #WorldBloodDonorDay  #SCOSummit2019  #ENGvWI  #SaveBengal  #MumbaiSaga  #FridayFeeling  #MenInMaroon  #FridayMotivation  #ShameOnICC,0
Agra Lucknow express way was part of Ganga express way project of Mayawati government and Metro project was also from mayawati government extensio of Delhi nodia metro project. Akilesh just taking credit of maywati government projects and changed names..,1
"A PM is the king of the nation. In olden days if any person equivalent to an MP would have uttered the same abuse thrown at Modi today in king's durbar , his head would have rolled down on the ground. The word uttered is to that proportion. Pack and leave India.\n#GandiNaaliAbuse",1
#SayNoToSasikala #SayNoToSasikala,1
For tht those hv more thn 2 flats or 2 land is legal rest has to surrender properties to govt,1
I'm glad they are highlighting the fact that other countries also have restrictions on their borders.,0
Now AAPtRds will abuse anna hajare,0
And naxalites praises antinational  NDTV. The enemy within the nation.,1
n pigs r haram?,1
Babar Azam's fifty helps Pakistan edge closer to 200 against WI,0
Following OJ Simpson would be entertaining but I dont need to follow a murderer sociopath when people like his tweets and he's automatically on my TL. He is crazy! Just saw him rambling about Kloe K. Damn why isn't he locked up😞 #murderer,1
He is BJP agent,1
Because there are too many mad dogs from congress who will not listen when he speaks.,1
"http://indianexpress.com/.../fatwa-issued-against.../

Dear Indian Express,
I feel sorry to write that your journalists are out there to misinterpret events and present them in a distorted manner just to make some sensational headlines. The news about upcoming singer Nahid Afreen has been prepared without proper research and investigation. It was very sad to see that your journalists don't even know the difference between fatwa and appeal. 
A fatwa is a non-binding legal opinion issued only by a qualified jurist (Mufti) on a request by someone who is unable to understand religious guidelines whereas the leaflet that is being circulated and presented as Fatwa is just a hard copy of an appeal signed by 46 men who believe in religious practices. The merit of appeal can be discussed on many grounds and in many dimensions but first and foremost, an appeal can not be called a legal opinion (Fatwa). 
We expect apology from your side for such a mistake",1
"Right in just sitting and now supporting the ruling government?
Oh wait MCD elections!!!",1
MRahman Syed...your cock is already half cut,1
“the swamp” in Moscow trying to buy his way into Putin’s good graces and make some money....     so basically just like his presidency only this time it’s Treason 🇺🇸  #TrumpIsATraitor https://t.co/RJrtfxFPYI,1
It's sad....How in the long run they have ripped apart retail shareholders and they get away with. Essar Steel went from public to private....NRI shareholders not able to exit. No response from company.,0
Pakistan is trying to establish that they got killed by fire.....such casualties take place in cross border fire.....to mutilate a body u need to have dat body in ur custody.....if Pakistan army crossed the LoC which u hav fenced all along and mutilated the bodies and came back then plz tell ur army to start wearing bangles as part of thier uniform.....and if they were inside Pakistani territory then surely they were at wrong place .....😉😉😉,1
#JohnDean should be ashamed of himself. A criminal who is willing to do the devil's bidding.  #douchebag @JohnWDean,1
"First u learn than teach others every father want his son want to be good Muslim and good citizen of India but sometime influence by external factor or In justice to community , lawmaker and law follower police give one side justice which lead to influence like rss influence my Hindu brother to follow rss ideology than Indian ideology Mr Vb Mishra , so correct urself so that we do not produce 3 time ban terrorist group like rss or u do not get influence and kill Sikh which u did in 1984 , u do not get influence and make naxalite group and fight against own government , make bomb and plant them in own country like malegao, mecca majid, ajmer blast etc , and goa and get got with 100 bomb made by group santana sanstha they were caught in kolaphur , do bomb blast in thane drama hall , create gujarat 2003 for political gain, and u elected 7th standard pass as our pm what qualification he have only one he could not control law and order of gujarat , so no religion urs or mine teaches bad thing only follower u and me follow it wrongly and blame others for own wrong doing",1
Someone tell her navratri happens for only 9 days a year not 1825 times a year..,1
@Carterjnelson1 @CoryBooker Says the man who is just returning from a twitter ban 😂😂😂 🖕🏾youre all criminals!   Impeach immediately!   #fucktrump,1
Y not let all elderly ppl to go directly ??,0
Trump’s Lawyers Say Congress Can’t Subpoena His Finances Because Nancy Pelosi Refuses to Impeach #Resist #ResistTrump #FuckTrump https://t.co/Rv03oLvfA8,0
BTW  thanks anuj for advice on building portfolio at 7950 nifty levels,0
Gd work done by police who the hell was he a freedom fighter or  a social worker,1
"@mpvadodara Mam. Pls don't promote a Private University whose owner is a #Rapist. Rather share some good news which Faculty Of Social Work, MSU has achieved.",1
Anurag Nanda find me one negative comment. Such a phenomenon rarely happens.,1
The action was in line with boosting Iran’s defence power and is not in contradiction with the JCPOA (the nuclear deal) or Resolution 2231: Iran Defence Minister,0
Hyderabad - NIMS     Woman (46) admitted with multiple organ failure died. Family chased resident doctor (Muslim) and beat him. #DoctorsProtest #DoctorsFightBack https://t.co/5a4P40eFYi,0
et says they crushed cnbc ....you people say we crushed times now ....so both of you people do not speak facts ......then how can we trust market news ...,1
@TheRealOJ32 #OJ you are a #murderer. God is calling you to repentance. You will reap what you have sown. How can you escape damnation? 🔥,1
"As cow vigilantism sweeps across Uttar Pradesh, cattle-sellers go online to sell their cows.",1
Bajaj used to rule when none of the other manufactures were in the market....,0
He is the person who given govt security for his bulls.,1
Race of abusing PM NaMo will accelerate to appease muslims.Listen to Pathan pushing his party as only for muslims & owasis as new Jinnah.All are disturbe due to 3talak bill as it is not a sharia law.#GandiNaaliAbuse,1
who said this.,0
weapons are not for display this are meant for fighting -defence minister sir,0
"Do not they get enough salary???And why should they be paid big bucks,arent they morons who knows how to kill and rape innocent people!!",1
How much was petrol prices during Congress rule Mr. Fake maxwell?,1
Thanks to Delhi police because they are not students they are anti national only believe in dirty politic and nothing else,1
Vox Sentences: Maine moves to expand abortion access #Resist #ResistTrump #FuckTrump https://t.co/FRjTApznIs,0
If you are @realDonaldTrump then you're a piece of shit.     If you are @VP then you are a piece of shit.    If you are a supporter of either Trump or Pence the you are a piece of shit.    #fucktrump #fuckpence #fuckthegop,1
"@FirstpostSports @VedamJaishankar EXACTLY. #ShameOnICC @ICC rain and such interruptions which are pretty normal in England at this time of the year, and that is the most vexing part of the whole botched-up scheduling.",0
"This is what I hate most about politics today:  F*** Business. F*** the NHS. F*** Northern Ireland. F*** struggling families. F*** our allies. F*** the country. As long as we can save the Party, No Deal Brexit will be worth it.  #BorisJohnsonShouldNotBePM  https://t.co/Ig2cDwI6oc",1
congratulation ERA,0
Anna hazare i have a huge respect for u. Ur thinkings and belives are just too great. 🙂,0
@manakgupta @MamataOfficial #DoctorsFightBack #MRSMCH #RDA Don't give up Guys Whole Indian Medical Fraternity is with U Until @MamataOfficial Unconditional Apology &amp; Arrest Action on 200 Jihadis under CrPC-302 who Assaulted Resident Doctors Don't Call Off Strike which now hv bcome National Movement KeepItUp,0
"In other words, Indian Army is saying Pakistani soldiers went across the LoC into Indian side, Mutilated the bodies of two Indian soldiers and came back while no one on the Indian side dared them engage. 
#surgicalstrike 😏",1
"#DhoniKeepsTheGlove @ICC @BCCI after wrong decision for dhoni s gloves now,me n,my friends boycott  @cricketworldcup and all cricjeting events now,we leave watchin cricket",0
Gud one but im buying the future today for cheap or bargain price,0
Don't know y no rain in England's match . Does this #WorldCup2019 is fixed ? 5th match of England but no rain or a drop of water in there games 😠😠🤨 . I think that @ICC and @ECB_cricket had fixed the #CWC19 for them .  #ShameOnICC   #ENGvWI   #ENGvWI   #TeamIndia   #INDvsPAK,1
"Years of hard work to be just worthy of that WHITE COAT.                      Instead of saving the public’s blood, it got stained with MY OWN #SaveTheSaviour  #DoctorsFightBack #TREATUSASHUMANS https://t.co/JSxtxKVIe3",1
@bearball49 What in the h😡ll is wrong with her! #Murderer,1
"@realDonaldTrump @foxandfriends @FoxNews funny how you say 'no collusion' for 2 years now, but first chance you get, if offered info from foreign government, you collude. Most disgusting, unamerican excuse for a president. #LockHimUp, #TrumpIsATraitor",1
@SenSchumer @realDonaldTrump @senatemajldr @SenateGOP It was too late for him to try to do damage control on @foxandfriends the @abc interview will be aired again and more people get to hear what he has to say. #TrumpIsATraitor,0
@ACTBrigitte Our country deserves better than a draft-dodging coward. McCain SERVED; #CadetBoneSpurs DIDN'T.  #FuckTrump  Happy #JohnMCainDay!!!  Happy #JohnMCainDay!!!  Happy #JohnMCainDay!!!,0
"India was divided on the basis of religion but Nehru made her Secular for his benefits. 
He is at the root of most of the problems that this country is facing now. 
Secularism is nothing but a very effective tool for appeasement of minorities for the sake of electoral politics.",1
Surgical strike on informal sector for paving a path to corporates under the shadow of JIONGOISM😂😂😂,1
"Can anyone say with conviction the benefits of using loudspeakers  in the name of religion -Hinduism,Islam or any other- which on the other hand does harass and hassle others?",1
"DIGITAL INDIA JOB Earn money with your smartphone work daily 2 hours per day earn rs 500 to 600 daily life changing opportunity type ""JOIN"" & send to my whatsapp number 09464061516",0
This is feminism ... not what you think ... or not what GenerAl indian masses follow,1
Anna Hazare had taken right decision not to join AAP under the leadership of Kejriwal who is a liar and joker in indian politics.,1
"She will build few more statues, send plane to get her shoes and everything will be all right because she is a dalit.",1
"How to convert all your black money into white in 4 easy perfectly ""legal"" steps?
Answer:-
-> Step 1 - Create a political party, and get registered under Representation of People's Act, 1951. [Not a difficult task. There are more than 1000 registered parties who didn't even contest 2014 Lok Sabha Election, and EC cannot de-register a party]
-> Step 2 - Donate all your black money to your party in parts, each part should be less than 20,000. You can make infinite such donations, and say that they came from people.
[According to the RP Act 1951, the political parties are not required to report (to the Election Commission of India (ECI)) the name of the individuals or organizations from whom they have received donations of amount less than Rs.20,000.]
-> Step 3 - Go to bank, deposit all this amount in the party's account.
[No need to pay any income tax. Political parties are 100% exempted from income tax]
-> Step 4 - Withdraw the amount as and when you need, in 50/100/500/2000 rupee notes - It is all white.
[Since Political Parties are not under RTI, you can't ask them how they spent their money]
ENJOY YOUR WEALTH...!!!!
*Moral of the Story:- All political parties are same. All they do is follow the letter of law like above example & kill the spirit which is politically correct but ethically incorrect. But in the process teach you about how one can legally generate enormous wealth and still talk about ideals and concern for poor people.

Isn't it fascinating?",1
Go ahead,0
"@realDonaldTrump You don't believe in polls, remember?    #SenileAF #StableGenius #racist #rapist #pervert #treason #Resist #UnstablePresident #25thAmendmentNow",0
Kaleem khaja get to know that it is the need ..... We have got to move towards the less cash economy...we have change we can't just keep hitting at the changing world..,1
Royal Enfield is icon... its not possible to shake image,0
"Ofcourse is every single represetatives duty to protect and trains his community, specially wen attrocities, harrasing,and genocide happen to minorities such as Christians,Muslims and dallit Hindus from upper cast rulers and its affiliate groups",1
"Wow, now take that money and give it to kingfisher.",0
who is she? farah? kaun janta hai inhe? ..,1
"@realDonaldTrump I don't buy it for a MINUTE. But even if your numbers were 20%, I'd still be PROFOUNDLY disappointed in my Traitorous and weak-minded country men and women...    #ImpeachmentInquiryNow  #ImpeachTheMFTraitor  #TrumpsWorseThanNixon  #TraitorTrump  #FUCKTrump    #Resistance 🇺🇲🇺🇲🇺🇲 https://t.co/oGWm2JzA9J",1
He obviously regards Bedi & VK Singh as disciples who have remained true and remained on the straight and the narrow path! Hope he consults a shrink soon.,0
In Kolkata really to asked be available either by govt or by local arrange or petrol pump or hospital near to shealdha station to avoid rail failure,1
For ur kind information 'halala' is not Islamic. So stop spreading misinformation. Also u don't know anything about 'talaq' so just shut up about that.   P.S. #tripletalaq and 'talaq' in Islam r not the same.  Go get ur facts right  #TripleTalaqBill,0
Just look at Bengal after 30 yrs of communist rule.,1
"oh...i get it...he's saying 'screw you bajaj, for making me do this'!",1
"Striking up conversation with each one, Amin Patel greeted residents and spoke to them in their native tongue.",0
ANDH BHAKT SPOTTED,1
@atrupar Pompeo is the ultimate sycophantic toad. #MikePompeo #TrumpIsATraitor,1
A DALIT then I guess it's high time to remove reservation.,1
@Restart_512 @Restart_iran201 @realDonaldTrump @foxandfriends @FoxNews You know that Trump is the spawn of Satan? #TrumpResignNow #TrumpUKVisit #TrumpRussia #TrumpIsATraitor,0
modiji hypnotised RBI & FM so he speaks and thinks through them.slight planning or delay in between Rs1000 & Rs500 phasing out could have been a better solution for the common man.now all are suffering.thanks modiji.its gods wish.,1
